date,USSWAP10,JYSW10,ADSWAP10,EUSA10,BPSW10,NDSWAP10,SKSW10,SDSW10
2009/5/24,3.6,1.38,5.7,3.66,3.95,5.9,3.85,2.79
2009/5/25,3.59,1.38,5.7,3.66,3.95,5.9,3.85,2.79
2009/5/26,3.75,1.36,5.73,3.7,3.92,5.95,3.8,2.76
2009/5/27,4.05,1.39,5.91,3.7,3.95,6.06,3.84,2.84
2009/5/28,3.88,1.4,5.72,3.74,4.02,5.97,3.91,2.89
2009/5/29,3.66,1.41,5.68,3.7,3.97,5.89,3.91,2.97
2009/6/1,4,1.42,5.88,3.78,4.05,5.95,3.94,2.96
2009/6/2,3.94,1.43,5.99,3.74,4.1,6.01,3.9275,3
2009/6/3,3.84,1.42,5.91,3.66,4.05,5.95,3.895,2.845
2009/6/4,4.05,1.41,6,3.77,4.14,6.015,3.91,2.865
2009/6/5,4.22,1.44,6.09,3.86,4.21,6.1,3.9055,2.915
2009/6/8,4.32,1.42,6.09,3.8,4.22,6.1925,3.9525,3.03
2009/6/9,4.23,1.39,6.01,3.76,4.19,6.02,3.9325,3.015
2009/6/10,4.34,1.43,6.09,3.81,4.23,5.9875,3.98,3.1
2009/6/11,4.21,1.46,6.07,3.82,4.27,6.2,3.99,3.28
2009/6/12,4.07,1.45,6.01,3.81,4.28,6.085,3.9033,3.175
2009/6/15,3.95,1.43,5.96,3.73,4.2,6.04,3.8158,3.055
2009/6/16,3.87,1.44,5.87,3.72,4.22,5.9488,3.817,3.075
2009/6/17,3.88,1.41,5.95,3.71,4.14,5.985,3.7725,3.085
2009/6/18,4.09,1.43,6.11,3.78,4.25,6.1578,3.7963,3.12
2009/6/19,4.04,1.41,6.14,3.74,4.21,6.215,3.7975,3.17
2009/6/22,3.94,1.39,5.99,3.71,4.17,6.12,3.795,3.1
2009/6/23,3.88,1.36,6,3.72,4.19,6.05,3.7925,3.075
2009/6/24,3.92,1.36,6.12,3.73,4.18,6.095,3.785,3.02
2009/6/25,3.75,1.4,5.99,3.67,4.16,6.11,3.755,3.06
2009/6/26,3.74,1.39,5.98,3.65,4.14,6.075,3.7363,3.015
2009/6/29,3.69,1.38,5.93,3.63,4.13,5.99,3.715,3.005
2009/6/30,3.78,1.37,5.99,3.62,4.17,5.995,3.725,3.045
2009/7/1,3.76,1.38,5.92,3.62,4.23,5.9275,3.7588,3.06
2009/7/2,3.72,1.35,5.82,3.58,4.16,5.8813,3.62,3.015
2009/7/3,3.71,1.32,5.91,3.59,4.15,5.875,3.665,2.995
2009/7/6,3.71,1.29,5.85,3.56,4.14,5.91,3.6525,3.0075
2009/7/7,3.65,1.3,5.83,3.56,4.13,5.98,3.65,2.985
2009/7/8,3.47,1.3,5.63,3.53,4.08,5.89,3.625,2.915
2009/7/9,3.58,1.3,5.72,3.58,4.16,5.8788,3.6388,2.8725
2009/7/10,3.48,1.28,5.61,3.56,4.1,5.8375,3.6263,2.82
2009/7/13,3.55,1.3,5.66,3.58,4.01,5.845,3.5888,2.835
2009/7/14,3.69,1.33,5.77,3.6,4.09,5.905,3.6575,2.93
2009/7/15,3.85,1.35,6,3.68,4.16,6,3.71,3
2009/7/16,3.8,1.34,5.92,3.62,4.11,5.9575,3.6888,2.985
2009/7/17,3.89,1.34,5.97,3.67,4.17,5.98,3.6925,2.97
2009/7/20,3.85,1.33,6.02,3.62,4.2,6.015,3.72,3.085
2009/7/21,3.69,1.35,5.97,3.62,4.18,6.015,3.71,3.04
2009/7/22,3.75,1.41,6.02,3.65,4.23,6.035,3.705,3
2009/7/23,3.9,1.47,6.11,3.69,4.32,6.0425,3.7325,3.02
2009/7/24,3.88,1.45,6.12,3.71,4.33,6.0225,3.77,3.025
2009/7/27,3.96,1.45,6.16,3.71,4.33,6.065,3.8,2.995
2009/7/28,3.9,1.43,6.15,3.66,4.29,6.035,3.73,3.005
2009/7/29,3.9,1.45,6.09,3.64,4.3,6.095,3.6875,2.9925
2009/7/30,3.86,1.47,6.09,3.58,4.28,5.995,3.715,2.99
2009/7/31,3.73,1.49,6.01,3.5,4.2,5.94,3.6175,2.99
2009/8/3,3.89,1.51,6.15,3.56,4.25,5.9413,3.665,2.9775
2009/8/4,3.93,1.49,6.16,3.57,4.25,5.9438,3.7125,3.0175
